csv_file,route_idx,chunk_idx,step_idx,criticality,base_cost,best_cost,improvement,best_idx,best_mean_abs_resid,best_max_abs_resid,base_h_cost_ref
/workspace/controls_challenge/data/03070.csv,13,71,455,0.5695670247077942,1251.1273193359375,1126.56787109375,124.5594482421875,20,0.024964824318885803,0.06697356700897217,1251.12744140625
/workspace/controls_challenge/data/18390.csv,19,25,225,0.5339135527610779,650.4196166992188,545.216064453125,105.20355224609375,24,0.02272879332304001,0.03157205134630203,650.419677734375
/workspace/controls_challenge/data/08024.csv,3,50,350,0.533944308757782,1073.9420166015625,978.2847900390625,95.6572265625,6,0.02275882475078106,0.057360514998435974,1073.942138671875
/workspace/controls_challenge/data/07314.csv,4,54,370,0.5701726078987122,2055.248779296875,1967.9410400390625,87.3077392578125,18,0.029604608193039894,0.061525121331214905,2055.248779296875
/workspace/controls_challenge/data/00212.csv,27,79,495,0.555794894695282,152.25509643554688,70.09720611572266,82.15789031982422,22,0.05609893798828125,0.13109560310840607,152.25509643554688
/workspace/controls_challenge/data/03648.csv,0,20,200,0.5631464719772339,574.8380737304688,493.49420166015625,81.3438720703125,2,0.026577377691864967,0.05055549740791321,574.8380737304688
/workspace/controls_challenge/data/02848.csv,8,77,485,0.5064342021942139,75.91558074951172,32.08049392700195,43.835086822509766,15,0.02126869559288025,0.0647677406668663,75.91558074951172
/workspace/controls_challenge/data/05231.csv,28,28,240,0.5401859879493713,140.24661254882812,111.36951446533203,28.877098083496094,6,0.030336428433656693,0.06256528943777084,140.24661254882812
/workspace/controls_challenge/data/17856.csv,21,53,365,0.529000461101532,110.39546203613281,88.2745361328125,22.120925903320312,14,0.027603646740317345,0.04393266513943672,110.39545440673828
/workspace/controls_challenge/data/02848.csv,8,70,450,0.5057200789451599,45.593536376953125,24.68796730041504,20.905569076538086,9,0.027694737538695335,0.04260380193591118,45.593528747558594
/workspace/controls_challenge/data/11149.csv,30,70,450,0.5635985732078552,247.0642852783203,238.40914916992188,8.655136108398438,26,0.017792580649256706,0.0461612306535244,247.0642852783203
/workspace/controls_challenge/data/09012.csv,2,77,485,0.5156669020652771,136.49771118164062,132.21359252929688,4.28411865234375,12,0.05503549799323082,0.14571209251880646,136.49771118164062
/workspace/controls_challenge/data/17870.csv,7,65,425,1.14395010471344,79783.25,79783.25,0.0,0,0.0,0.0,79783.25
/workspace/controls_challenge/data/08024.csv,3,38,290,0.5378167033195496,218.3286895751953,218.3286895751953,0.0,0,0.0,0.0,218.32867431640625
/workspace/controls_challenge/data/09012.csv,2,68,440,0.5149283409118652,83.38622283935547,83.38622283935547,0.0,0,0.0,0.0,83.38621520996094
